store,name,description,price,currency,category,image,link,id_tag
Aldi Süd,peach iced tea,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,6.92,€,drinks,http://dummyimage.com/133x100.png/5fa2dd/ffffff,http://dummyimage.com/180x100.png/ff4444/ffffff,#7c24a2
Kaufland,sparkling water,,3.22,€,drinks,http://dummyimage.com/224x100.png/ff4444/ffffff,http://dummyimage.com/166x100.png/cc0000/ffffff,#96c594
Kaufland,sparkling water,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,6.0,€,drinks,http://dummyimage.com/159x100.png/ff4444/ffffff,http://dummyimage.com/158x100.png/ff4444/ffffff,#d0f5ec
Netto,chocolate milkshake,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,1.93,€,drinks,http://dummyimage.com/200x100.png/ff4444/ffffff,http://dummyimage.com/246x100.png/cc0000/ffffff,#dc3fc7
Kaufland,vanilla chai,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,6.67,€,drinks,http://dummyimage.com/234x100.png/ff4444/ffffff,http://dummyimage.com/204x100.png/ff4444/ffffff,#4bee4c
Aldi Süd,chocolate milkshake,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,1.62,€,drinks,http://dummyimage.com/101x100.png/5fa2dd/ffffff,http://dummyimage.com/198x100.png/ff4444/ffffff,#6cc2a3
Aldi Süd,berry lemonade,consequat lectus in est risus auctor sed tristique in tempus,5.85,€,drinks,http://dummyimage.com/145x100.png/5fa2dd/ffffff,http://dummyimage.com/123x100.png/5fa2dd/ffffff,#a4d413
Netto,green tea,,8.52,€,drinks,http://dummyimage.com/182x100.png/dddddd/000000,http://dummyimage.com/146x100.png/cc0000/ffffff,#e7a130
Netto,chocolate milkshake,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,6.69,€,drinks,http://dummyimage.com/102x100.png/cc0000/ffffff,http://dummyimage.com/103x100.png/dddddd/000000,#327595
Netto,tropical punch,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,9.03,€,drinks,http://dummyimage.com/190x100.png/dddddd/000000,http://dummyimage.com/238x100.png/cc0000/ffffff,#ca6c0e
Netto,mango smoothie,purus phasellus in felis donec semper sapien a libero nam dui,9.5,€,drinks,http://dummyimage.com/182x100.png/cc0000/ffffff,http://dummyimage.com/224x100.png/ff4444/ffffff,#b3928d
Netto,chocolate milkshake,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,2.28,€,drinks,http://dummyimage.com/153x100.png/5fa2dd/ffffff,http://dummyimage.com/208x100.png/cc0000/ffffff,#93cc49
Aldi Süd,iced latte,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,1.06,€,drinks,http://dummyimage.com/110x100.png/cc0000/ffffff,http://dummyimage.com/121x100.png/cc0000/ffffff,#6505f6
Kaufland,green tea,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor,2.27,€,drinks,http://dummyimage.com/238x100.png/cc0000/ffffff,http://dummyimage.com/232x100.png/ff4444/ffffff,#0887f5
Aldi Süd,sparkling water,in porttitor pede justo eu massa donec dapibus duis at velit eu est,9.13,€,drinks,http://dummyimage.com/199x100.png/5fa2dd/ffffff,http://dummyimage.com/231x100.png/dddddd/000000,#ef4c8a
Aldi Süd,iced latte,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,7.19,€,drinks,http://dummyimage.com/205x100.png/dddddd/000000,http://dummyimage.com/181x100.png/dddddd/000000,#00ac8f
Aldi Süd,vanilla chai,,6.38,€,drinks,http://dummyimage.com/142x100.png/ff4444/ffffff,http://dummyimage.com/195x100.png/dddddd/000000,#5e737a
Aldi Süd,coconut water,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,8.99,€,drinks,http://dummyimage.com/156x100.png/ff4444/ffffff,http://dummyimage.com/221x100.png/dddddd/000000,#24045e
Kaufland,green tea,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,1.58,€,drinks,http://dummyimage.com/186x100.png/ff4444/ffffff,http://dummyimage.com/175x100.png/5fa2dd/ffffff,#27ef05
Aldi Süd,chocolate milkshake,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,1.34,€,drinks,http://dummyimage.com/130x100.png/ff4444/ffffff,http://dummyimage.com/145x100.png/ff4444/ffffff,#3282d6
Kaufland,iced latte,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,4.58,€,drinks,http://dummyimage.com/126x100.png/ff4444/ffffff,http://dummyimage.com/181x100.png/dddddd/000000,#7c2b29
Aldi Süd,coconut water,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,9.5,€,drinks,http://dummyimage.com/151x100.png/cc0000/ffffff,http://dummyimage.com/107x100.png/ff4444/ffffff,#574411
Kaufland,mango smoothie,,2.3,€,drinks,http://dummyimage.com/143x100.png/ff4444/ffffff,http://dummyimage.com/247x100.png/5fa2dd/ffffff,#f13319
Netto,chocolate milkshake,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,9.1,€,drinks,http://dummyimage.com/214x100.png/dddddd/000000,http://dummyimage.com/212x100.png/dddddd/000000,#eb8e19
Kaufland,green tea,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,4.62,€,drinks,http://dummyimage.com/154x100.png/ff4444/ffffff,http://dummyimage.com/179x100.png/5fa2dd/ffffff,#a89942
Netto,vanilla chai,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,1.7,€,drinks,http://dummyimage.com/161x100.png/5fa2dd/ffffff,http://dummyimage.com/244x100.png/ff4444/ffffff,#a06fba
Kaufland,green tea,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,1.92,€,drinks,http://dummyimage.com/128x100.png/ff4444/ffffff,http://dummyimage.com/209x100.png/cc0000/ffffff,#49cca9
Aldi Süd,green tea,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,9.07,€,drinks,http://dummyimage.com/116x100.png/5fa2dd/ffffff,http://dummyimage.com/123x100.png/cc0000/ffffff,#fb584a
Aldi Süd,peach iced tea,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,9.15,€,drinks,http://dummyimage.com/107x100.png/dddddd/000000,http://dummyimage.com/118x100.png/dddddd/000000,#bc9b0e
Aldi Süd,mango smoothie,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,1.73,€,drinks,http://dummyimage.com/159x100.png/5fa2dd/ffffff,http://dummyimage.com/145x100.png/dddddd/000000,#852f1a
