store,name,description,price,currency,category,image,link,id_tag
Netto,spinach,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,3.51,€,Vegetables,http://dummyimage.com/108x100.png/dddddd/000000,http://dummyimage.com/139x100.png/ff4444/ffffff,#f74b77
Netto,celery,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,5.56,€,Vegetables,http://dummyimage.com/203x100.png/5fa2dd/ffffff,http://dummyimage.com/129x100.png/ff4444/ffffff,#9affe1
Aldi Süd,bell pepper,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,1.89,€,Vegetables,http://dummyimage.com/138x100.png/dddddd/000000,http://dummyimage.com/243x100.png/ff4444/ffffff,#f9a871
Aldi Süd,carrot,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,2.17,€,Vegetables,http://dummyimage.com/169x100.png/ff4444/ffffff,http://dummyimage.com/100x100.png/ff4444/ffffff,#60df01
Kaufland,cabbage,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,2.63,€,Vegetables,http://dummyimage.com/246x100.png/cc0000/ffffff,http://dummyimage.com/237x100.png/ff4444/ffffff,#f457a2
Aldi Süd,radish,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,8.04,€,Vegetables,http://dummyimage.com/202x100.png/ff4444/ffffff,http://dummyimage.com/155x100.png/dddddd/000000,#9693f0
Kaufland,zucchini,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,1.39,€,Vegetables,http://dummyimage.com/228x100.png/dddddd/000000,http://dummyimage.com/191x100.png/dddddd/000000,#d4aea8
Netto,asparagus,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,1.7,€,Vegetables,http://dummyimage.com/118x100.png/cc0000/ffffff,http://dummyimage.com/190x100.png/5fa2dd/ffffff,#1a2dfc
Netto,eggplant,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,9.26,€,Vegetables,http://dummyimage.com/200x100.png/dddddd/000000,http://dummyimage.com/159x100.png/5fa2dd/ffffff,#602390
Aldi Süd,carrot,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,9.06,€,Vegetables,http://dummyimage.com/179x100.png/dddddd/000000,http://dummyimage.com/163x100.png/dddddd/000000,#947253
